Time;Events;Censored;Cost
141;1;0;44.2
252;0;1;0.0
288;0;1;0.0
358;0;1;0.0
365;0;1;0.0
376;0;2;0.0
381;0;1;0.0
444;0;1;0.0
651;0;1;0.0
699;0;1;0.0
820;0;1;0.0
831;0;1;0.0
843;1;0;110.2
880;0;1;0.0
966;0;1;0.0
973;0;1;0.0
1057;0;1;0.0
1170;0;1;0.0
1200;0;1;0.0
1232;0;1;0.0
1269;1;0;130.2
1355;0;1;0.0
1381;1;0;150.4
1471;1;0;113.4
1567;1;0;151.9
1642;1;0;191.2
1646;1;0;36.0
1762;0;1;0.0
1869;0;1;0.0
1881;0;1;0.0
1908;1;0;158.5
1920;0;1;0.0
2110;0;1;0.0
2261;1;0;243.8
2273;1;0;189.5
2363;1;0;225.4
2419;0;1;0.0
2440;1;0;197.8
2562;0;1;0.0
2593;1;0;184.0
2615;0;1;0.0
2674;1;0;167.2
2710;1;0;149.0
2794;0;1;0.0
2815;0;1;0.0
2838;1;0;42.0
2946;1;0;255.7
2951;1;0;243.3
2986;0;1;0.0
3017;0;1;0.0
3087;0;1;0.0
3216;0;1;0.0
3291;0;1;0.0
3296;1;0;145.0
3307;1;0;208.0
3368;1;0;248.7
3391;1;0;256.9
3406;0;1;0.0
3440;1;0;305.5
3489;1;0;202.8
3490;0;1;0.0
3621;0;1;0.0
3631;0;5;0.0
3635;1;0;242.0
3639;0;1;0.0
3648;0;1;0.0
3652;0;74;0.0
