Sample;Time;Event
7907;194;1
7907;209;1
7907;250;1
7907;279;1
7907;312;1
7907;493;1
7907;493;0
7908;413;1
7908;427;1
7908;485;1
7908;522;1
7908;622;1
7908;687;1
7908;696;1
7908;865;1
7908;1312;1
7908;1496;1
7908;1532;1
7908;1733;1
7908;1851;1
7908;1885;1
7908;1916;1
7908;1934;1
7908;1952;1
7908;2019;1
7908;2076;1
7908;2138;1
7908;2145;1
7908;2167;1
7908;2201;1
7908;2201;0
7909;90;1
7909;100;1
7909;160;1
7909;346;1
7909;407;1
7909;456;1
7909;470;1
7909;494;1
7909;550;1
7909;570;1
7909;649;1
7909;733;1
7909;777;1
7909;836;1
7909;865;1
7909;983;1
7909;1008;1
7909;1164;1
7909;1474;1
7909;1550;1
7909;1576;1
7909;1620;1
7909;1643;1
7909;1705;1
7909;1835;1
7909;2043;1
7909;2113;1
7909;2214;1
7909;2422;1
7909;2422;0
7910;74;1
7910;131;1
7910;179;1
7910;208;1
7910;710;1
7910;722;1
7910;792;1
7910;813;1
7910;842;1
7910;1228;1
7910;1287;1
7910;1314;1
7910;1467;1
7910;1493;1
7910;1819;1
7910;1819;0
7911;55;1
7911;375;1
7911;431;1
7911;535;1
7911;755;1
7911;994;1
7911;1041;1
7911;1287;1
7911;1463;1
7911;1645;1
7911;1678;1
7911;1693;1
7911;1797;1
7911;1832;1
7911;1832;0
7912;23;1
7912;284;1
7912;371;1
7912;378;1
7912;498;1
7912;512;1
7912;574;1
7912;621;1
7912;846;1
7912;917;1
7912;1163;1
7912;1184;1
7912;1226;1
7912;1246;1
7912;1251;1
7912;1263;1
7912;1383;1
7912;1394;1
7912;1397;1
7912;1411;1
7912;1482;1
7912;1493;1
7912;1507;1
7912;1518;1
7912;1534;1
7912;1624;1
7912;1625;1
7912;1641;1
7912;1693;1
7912;1788;1
7912;1788;0
7913;97;1
7913;148;1
7913;159;1
7913;163;1
7913;304;1
7913;322;1
7913;464;1
7913;532;1
7913;609;1
7913;689;1
7913;690;1
7913;706;1
7913;812;1
7913;1018;1
7913;1100;1
7913;1154;1
7913;1185;1
7913;1401;1
7913;1447;1
7913;1558;1
7913;1597;1
7913;1660;1
7913;1678;1
7913;1869;1
7913;1887;1
7913;2050;1
7913;2074;1
7913;2074;0
7914;50;1
7914;94;1
7914;196;1
7914;268;1
7914;290;1
7914;329;1
7914;332;1
7914;347;1
7914;544;1
7914;732;1
7914;811;1
7914;899;1
7914;945;1
7914;950;1
7914;955;1
7914;991;1
7914;1013;1
7914;1152;1
7914;1362;1
7914;1459;1
7914;1489;1
7914;1512;1
7914;1525;1
7914;1539;1
7914;1539;0
7915;359;1
7915;368;1
7915;380;1
7915;650;1
7915;1253;1
7915;1256;1
7915;1360;1
7915;1362;1
7915;1800;1
7915;1800;0
7916;50;1
7916;304;1
7916;309;1
7916;592;1
7916;627;1
7916;639;1
7916;639;0
7917;130;1
7917;623;1
7917;623;0
8044;487;1
8044;505;1
8044;605;1
8044;612;1
8044;710;1
8044;715;1
8044;800;1
8044;891;1
8044;934;1
8044;1164;1
8044;1167;1
8044;1297;1
8044;1297;0
8045;102;1
8045;311;1
8045;325;1
8045;382;1
8045;436;1
8045;468;1
8045;535;1
8045;594;1
8045;728;1
8045;880;1
8045;907;1
8045;921;1
8045;1151;1
8045;1217;1
8045;1278;1
8045;1312;1
8045;1312;0
