Interval	Time.start	Time.end	Events	AtRisk
1	0	1	83	22914
2	1	2	35	22914
3	2	3	23	22914
4	3	4	15	22914
5	4	5	22	22914
6	5	6	16	22914
7	6	7	13	22911
8	7	8	12	22875
9	8	9	15	22851
10	9	10	15	22822
11	10	11	24	22785
12	11	12	12	22745
13	12	13	7	2704
14	13	14	11	2690
15	14	15	15	2673
16	15	16	6	2660
17	16	17	8	2632
18	17	18	9	2610
19	18	19	9	2583
20	19	20	5	2519
21	20	21	6	2425
22	21	22	6	2306
23	22	23	6	2188
24	23	24	5	2050
25	24	25	7	862
26	25	26	5	845
27	26	27	5	817
28	27	28	6	718
29	28	29	3	590
