Time;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;;1643;1911;;1669;;;;;1000;772;;;;
2;;1896;;;;;;1726;;771;;;;;
3;864;;;;765;;;768;822;;;;;;
4;767;;725;730;;;;;856;;;;;;
5;720;1730;1096;;;;;;;;1020;878;;;
6;1294;1485;2444;;;;;;;;;790;1735;;
7;784;;1287;;;;;856;;810;868;;760;;819
8;738;761;;828;;786;;;1786;887;;;;;
9;998;1548;;;;;;;;;;815;763;;
10;853;;804;;949;;857;829;;;;;;915;
11;;738;625;779;;;;;;1568;;;;;
12;1773;1484;;800;;746;;;;;;;;;
13;761;768;1854;;1420;;;;;;1299;;1175;;556
14;;1632;;;;;;778;;729;;602;582;;
15;1041;;;;;;;689;;662;;1517;829;;
16;2824;880;;;;;;620;;749;1197;2282;1163;582;
17;;2452;1177;;;;;;1272;591;;;;;
18;818;1169;840;;;;916;;;559;;;705;;
19;;1581;624;;;;;;;1164;1117;541;;;
20;;;;656;639;2628;;;634;550;559;;554;;
21;1206;2390;565;1373;;;;;;571;;571;630;;
22;603;;624;;;578;;;582;;640;;;;
23;769;595;;;;;;691;560;;;573;;;
24;;;;563;;1393;;;1187;;;591;;;
25;1255;1609;;;;;;;;;578;573;;;
26;1548;729;;610;;;;;1666;559;;;;;
27;1240;581;563;;;;;571;;;;;;;
28;;;;;;;;;1499;;;;;;
29;;661;;;618;;2106;624;794;;;;;;
30;568;613;;;;;;;;;;;;;
31;;548;;558;467;;;;;;;;;;
32;;;;;;1930;;;;;;;;;
33;;1173;596;;;;;;;;;;;;
34;572;3218;;;;;;;;;;;;;
35;;597;646;;;;;;;;;;;;
36;611;569;624;;;;;;;;;;;;
37;577;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;
