Time;Censored;Type;Events
1;0; O;2
1;0; A;1
2;0; N;1
2;0; L;1
3;0; Q;1
3;0; R;1
4;0;D;1
4;0; N;1
4;0; A;1
4;0; M;2
5;0; O;1
5;0; A;1
6;0;D;1
6;0; K;1
6;0; A;1
7;0; K;1
7;0; L;2
7;0; A;2
7;0; J;1
8;13; K;1
8;13; A;4
8;13; M;1
9;28; C;1
9;28; L;1
9;28; M;2
10;28; A;5
10;28; S;1
10;28; T;1
11;29; O;2
11;29; K;1
11;29; Q;1
11;29; E;2
12;27; O;1
12;27; K;2
12;27; A;1
12;27; Q;1
13;25; O;2
13;25; K;2
13;25; B;1
13;25; L;5
13;25; M;2
14;24;D;1
14;24; N;1
14;24; K;1
14;24; J;1
15;1; F;2
15;1; B;1
15;1; A;1
15;1; M;1
16;11; N;2
16;11; F;1
16;11; O;4
16;11; K;4
16;11; Q;1
16;11; S;1
17;7; F;1
17;7; O;1
17;7; K;1
17;7; L;3
17;7; A;3
18;12;D;1
18;12; N;1
18;12; O;2
18;12; L;2
18;12; A;1
18;12; X;1
19;14;D;1
19;14; F;1
19;14; K;2
19;14; L;4
19;14; A;1
19;14; Q;1
19;14; M;1
20;12;D;1
20;12; F;1
20;12; H;2
20;12; M;1
20;12; P;1
21;14;D;1
21;14; F;1
21;14; K;1
22;11;D;1
22;11; K;1
22;11; A;3
22;11; M;1
23;13;D;1
23;13; O;1
23;13; B;1
24;9;D;1
24;9; N;1
24;9; O;2
24;9; K;4
24;9; A;1
24;9; Q;2
24;9;  I;1
24;9; X;1
25;8; O;3
25;8; K;1
25;8; C;1
25;8; G;2
25;8; L;1
25;8; Q;1
26;12;D;1
26;12; H;1
26;12; C;1
27;13; F;1
27;13; O;2
27;13; R;1
27;13; E;1
28;11;D;1
28;11; K;1
30;13; Q;1
