"E","E.var","Platform","Country","Difficulty"
2.09383411486863,0.238008778297824,"android","GB","normal"
1.88212235581356,0.238416899127896,"android","GB","easy"
1.92254568281979,0.250496025186857,"android","GB","hard"
2.11127532404044,0.143255528751632,"android","AU","normal"
1.89956356498537,0.15191821911719,"android","AU","easy"
1.9399868919916,0.159841518225902,"android","AU","hard"
1.9293420582227,0.389174488999183,"android","NL","normal"
1.71763029916764,0.403723334711766,"android","NL","easy"
1.75805362617386,0.380588195741799,"android","NL","hard"
1.71397523636885,0.24906786514536,"android","US","normal"
1.50226347731378,0.26463906425611,"android","US","easy"
1.54268680432001,0.226060678590359,"android","US","hard"
2.24226892334381,0.184741883138765,"ios","GB","normal"
2.03055716428875,0.21597125047893,"ios","GB","easy"
2.07098049129497,0.214279763910122,"ios","GB","hard"
2.25971013251562,0.115426497049149,"ios","AU","normal"
2.04799837346056,0.1549104339248,"ios","AU","easy"
2.08842170046678,0.149063120405743,"ios","AU","hard"
2.07777686669789,0.320026362668167,"ios","NL","normal"
1.86606510764282,0.365396454890843,"ios","NL","easy"
1.90648843464905,0.328490703293108,"ios","NL","hard"
1.86241004484404,0.231969496294079,"ios","US","normal"
1.65069828578897,0.278361941914923,"ios","US","easy"
1.6911216127952,0.226012943621403,"ios","US","hard"
